1 	 1.499766e+00 
2 	 5.315850e+00 
3 	 1.303261e+01 
4 	 2.388753e+00 
5 	 4.021225e+00 
6 	 5.455061e+00 
7 	 7.335418e+00 
8 	 6.886026e+00 
9 	 9.217530e+00 
10 	 9.695441e+00 
11 	 8.808818e+00 
12 	 1.031822e+01 
13 	 1.073268e+01 
14 	 1.063707e+01 
15 	 1.103100e+01 
16 	 1.124687e+01 
17 	 1.125185e+01 
18 	 1.156336e+01 
19 	 1.172458e+01 
20 	 1.184460e+01 
21 	 1.196740e+01 
22 	 1.212432e+01 
23 	 1.225725e+01 
24 	 1.234642e+01 
25 	 1.244646e+01 
26 	 1.255706e+01 
27 	 1.268770e+01 
28 	 1.281803e+01 
29 	 1.295124e+01 
30 	 1.306026e+01 
31 	 1.314854e+01 
32 	 1.322224e+01 
33 	 1.327928e+01 
34 	 1.332141e+01 
35 	 1.335037e+01 
36 	 1.337470e+01 
37 	 1.339389e+01 
38 	 1.341038e+01 
39 	 1.342598e+01 
40 	 1.343902e+01 
41 	 1.344853e+01 
42 	 1.345848e+01 
43 	 1.346793e+01 
44 	 1.347756e+01 
45 	 1.348661e+01 
46 	 1.349460e+01 
47 	 1.350387e+01 
48 	 1.351164e+01 
49 	 1.351654e+01 
50 	 1.352331e+01 
